,input,parsed,parsed_address
0,"MARAȘA'ta arkadaşimizdan haber alamıyoruz ACIL yardım Penta Park konutları 1. Blok en üst kat 11. Kat 

@AFADBaskanlik #kahramanmaraş
ACİL","[{'entity': 'B-ORG', 'score': 0.95016813, 'index': 13, 'word': 'Pen', 'start': 54, 'end': 57}, {'entity': 'B-ORG', 'score': 0.9559126, 'index': 14, 'word': '##ta', 'start': 57, 'end': 59}, {'entity': 'I-ORG', 'score': 0.77797955, 'index': 15, 'word': 'Park', 'start': 60, 'end': 64}, {'entity': 'I-ORG', 'score': 0.497383, 'index': 17, 'word': '##ları', 'start': 70, 'end': 74}, {'entity': 'B-ORG', 'score': 0.9052043, 'index': 28, 'word': 'AFAD', 'start': 105, 'end': 109}, {'entity': 'B-LOC', 'score': 0.9262087, 'index': 34, 'word': 'kahraman', 'start': 120, 'end': 128}, {'entity': 'B-LOC', 'score': 0.9779351, 'index': 35, 'word': '##maraş', 'start': 128, 'end': 133}]", kahraman##maraş
1,Lütfen yardım Akevler mahallesi Rüzgar sokak Tuncay apartmanı zemin kat Antakya akrabalarım göçük altında #hatay #Afad,"[{'entity': 'B-LOC', 'score': 0.9608531, 'index': 3, 'word': 'Ak', 'start': 14, 'end': 16}, {'entity': 'B-LOC', 'score': 0.98589116, 'index': 4, 'word': '##evler', 'start': 16, 'end': 21}, {'entity': 'B-PER', 'score': 0.89489025, 'index': 8, 'word': 'Tuncay', 'start': 45, 'end': 51}, {'entity': 'B-LOC', 'score': 0.9881401, 'index': 13, 'word': 'Antakya', 'start': 72, 'end': 79}, {'entity': 'B-LOC', 'score': 0.726234, 'index': 20, 'word': 'hata', 'start': 107, 'end': 111}, {'entity': 'B-LOC', 'score': 0.773189, 'index': 21, 'word': '##y', 'start': 111, 'end': 112}]",Ak##evler Antakya hata##y
2,Kahramanmaraş Hayrullah mahallesi göksay apartman 8. sokak kat-4 daire-7 teyzemden haber alamıyorum lütfen yardım e… https://t.co/tBox3yzFwC,"[{'entity': 'B-LOC', 'score': 0.99553764, 'index': 1, 'word': 'Kahramanmaraş', 'start': 0, 'end': 13}, {'entity': 'I-LOC', 'score': 0.62340564, 'index': 2, 'word': 'Hay', 'start': 14, 'end': 17}, {'entity': 'B-LOC', 'score': 0.5478896, 'index': 3, 'word': '##rul', 'start': 17, 'end': 20}, {'entity': 'I-LOC', 'score': 0.4788345, 'index': 4, 'word': '##lah', 'start': 20, 'end': 23}]",Kahramanmaraş Hay##rul##lah
3,Pınarbaşı hünkar düğün salonu yanı firuze apartmanı haber alamıyoruz herkes göçük altında lütfen yardım edin #Kahramanmaras  giriş kat,"[{'entity': 'B-LOC', 'score': 0.98969394, 'index': 1, 'word': 'Pınar', 'start': 0, 'end': 5}, {'entity': 'B-LOC', 'score': 0.9875823, 'index': 2, 'word': '##başı', 'start': 5, 'end': 9}, {'entity': 'I-LOC', 'score': 0.7872931, 'index': 3, 'word': 'hün', 'start': 10, 'end': 13}, {'entity': 'I-LOC', 'score': 0.87040055, 'index': 4, 'word': '##kar', 'start': 13, 'end': 16}, {'entity': 'I-LOC', 'score': 0.86230445, 'index': 5, 'word': 'düğün', 'start': 17, 'end': 22}, {'entity': 'I-LOC', 'score': 0.7954181, 'index': 6, 'word': 'salonu', 'start': 23, 'end': 29}, {'entity': 'B-LOC', 'score': 0.824618, 'index': 8, 'word': 'fir', 'start': 35, 'end': 38}, {'entity': 'B-LOC', 'score': 0.9676549, 'index': 9, 'word': '##uz', 'start': 38, 'end': 40}, {'entity': 'B-LOC', 'score': 0.9512277, 'index': 10, 'word': '##e', 'start': 40, 'end': 41}, {'entity': 'B-LOC', 'score': 0.9866607, 'index': 24, 'word': 'Kahraman', 'start': 110, 'end': 118}, {'entity': 'B-LOC', 'score': 0.98690957, 'index': 25, 'word': '##mara', 'start': 118, 'end': 122}, {'entity': 'B-LOC', 'score': 0.9892077, 'index': 26, 'word': '##s', 'start': 122, 'end': 123}]",Pınar##başı hün##kar düğün salonu fir##uz##e Kahraman##mara##s
4,HATAY 7. KAT DEFNE HASTANESİNDE MAHSUR VAR #AFAD #yardım,"[{'entity': 'B-LOC', 'score': 0.99274457, 'index': 1, 'word': 'HAT', 'start': 0, 'end': 3}, {'entity': 'B-LOC', 'score': 0.99250257, 'index': 2, 'word': '##AY', 'start': 3, 'end': 5}, {'entity': 'I-LOC', 'score': 0.92565954, 'index': 3, 'word': '7', 'start': 6, 'end': 7}, {'entity': 'I-LOC', 'score': 0.9730347, 'index': 4, 'word': '.', 'start': 7, 'end': 8}, {'entity': 'I-LOC', 'score': 0.9802419, 'index': 5, 'word': 'KAT', 'start': 9, 'end': 12}, {'entity': 'I-LOC', 'score': 0.9698278, 'index': 6, 'word': 'DE', 'start': 13, 'end': 15}, {'entity': 'I-LOC', 'score': 0.9680463, 'index': 7, 'word': '##F', 'start': 15, 'end': 16}, {'entity': 'I-LOC', 'score': 0.9337139, 'index': 8, 'word': '##NE', 'start': 16, 'end': 18}, {'entity': 'I-LOC', 'score': 0.9510898, 'index': 9, 'word': 'HAS', 'start': 19, 'end': 22}, {'entity': 'I-LOC', 'score': 0.9635854, 'index': 10, 'word': '##TAN', 'start': 22, 'end': 25}, {'entity': 'I-LOC', 'score': 0.59472764, 'index': 11, 'word': '##ESİ', 'start': 25, 'end': 28}, {'entity': 'B-ORG', 'score': 0.99070835, 'index': 19, 'word': 'AFAD', 'start': 44, 'end': 48}]",HAT##AY 7. KAT DE##F##NE HAS##TAN##ESİ
5,Azerbaycan Bulvarı Hayrullah mah Aydınlat apartman 6.kat #deprem #afad #yardımedin göçük altında kaldılar yardım edin acilll,"[{'entity': 'B-LOC', 'score': 0.99495244, 'index': 1, 'word': 'Azerbaycan', 'start': 0, 'end': 10}, {'entity': 'I-LOC', 'score': 0.9810369, 'index': 2, 'word': 'Bulvarı', 'start': 11, 'end': 18}, {'entity': 'B-LOC', 'score': 0.974917, 'index': 3, 'word': 'Hay', 'start': 19, 'end': 22}, {'entity': 'B-LOC', 'score': 0.97699046, 'index': 4, 'word': '##rul', 'start': 22, 'end': 25}, {'entity': 'B-LOC', 'score': 0.972984, 'index': 5, 'word': '##lah', 'start': 25, 'end': 28}]",Azerbaycan Bulvarı Hay##rul##lah
6,#deprem 137. Sokak ünlükent apartmanı B blok kat:2 no:3 Adıyaman merkez. Enkaz altındalar haber alamıyoruz. Lütfen yardımcı olun....,"[{'entity': 'B-LOC', 'score': 0.6370682, 'index': 3, 'word': '137', 'start': 8, 'end': 11}, {'entity': 'I-LOC', 'score': 0.5194681, 'index': 5, 'word': 'Sokak', 'start': 13, 'end': 18}, {'entity': 'B-LOC', 'score': 0.6234327, 'index': 7, 'word': '##kent', 'start': 23, 'end': 27}, {'entity': 'B-LOC', 'score': 0.9949588, 'index': 18, 'word': 'Adıyaman', 'start': 56, 'end': 64}]",137 Sokak ##kent Adıyaman
7,#deprem 137. Sokak ünlükent apartmanı B blok kat:2 no:3 Adıyaman/merkez haber alamıyoruz!!!!,"[{'entity': 'B-LOC', 'score': 0.7141331, 'index': 3, 'word': '137', 'start': 8, 'end': 11}, {'entity': 'B-LOC', 'score': 0.5743141, 'index': 4, 'word': '.', 'start': 11, 'end': 12}, {'entity': 'I-LOC', 'score': 0.63420403, 'index': 5, 'word': 'Sokak', 'start': 13, 'end': 18}, {'entity': 'B-LOC', 'score': 0.6658798, 'index': 7, 'word': '##kent', 'start': 23, 'end': 27}, {'entity': 'B-LOC', 'score': 0.9930478, 'index': 18, 'word': 'Adıyaman', 'start': 56, 'end': 64}]",137. Sokak ##kent Adıyaman
8,#deprem #karamanmaraş #piazzaavm #afad Maraş piazza avm yakını Sazibey mah 4. Sokak kat 1 daire 7 haber alamıyoruz… https://t.co/4vLJ9Y1nAn,"[{'entity': 'B-LOC', 'score': 0.9892931, 'index': 4, 'word': 'karam', 'start': 9, 'end': 14}, {'entity': 'B-LOC', 'score': 0.9883974, 'index': 5, 'word': '##an', 'start': 14, 'end': 16}, {'entity': 'B-LOC', 'score': 0.99225205, 'index': 6, 'word': '##maraş', 'start': 16, 'end': 21}, {'entity': 'B-LOC', 'score': 0.97885954, 'index': 16, 'word': 'Maraş', 'start': 39, 'end': 44}, {'entity': 'I-LOC', 'score': 0.8300078, 'index': 17, 'word': 'pi', 'start': 45, 'end': 47}, {'entity': 'I-LOC', 'score': 0.91882104, 'index': 18, 'word': '##azz', 'start': 47, 'end': 50}, {'entity': 'I-LOC', 'score': 0.9204736, 'index': 19, 'word': '##a', 'start': 50, 'end': 51}, {'entity': 'I-LOC', 'score': 0.798447, 'index': 20, 'word': 'av', 'start': 52, 'end': 54}, {'entity': 'I-LOC', 'score': 0.85735697, 'index': 21, 'word': '##m', 'start': 54, 'end': 55}, {'entity': 'B-LOC', 'score': 0.99419904, 'index': 23, 'word': 'Sa', 'start': 63, 'end': 65}, {'entity': 'B-LOC', 'score': 0.99549013, 'index': 24, 'word': '##zi', 'start': 65, 'end': 67}, {'entity': 'B-LOC', 'score': 0.99527365, 'index': 25, 'word': '##bey', 'start': 67, 'end': 70}, {'entity': 'I-LOC', 'score': 0.9731972, 'index': 26, 'word': 'mah', 'start': 71, 'end': 74}, {'entity': 'I-LOC', 'score': 0.79426634, 'index': 27, 'word': '4', 'start': 75, 'end': 76}, {'entity': 'I-LOC', 'score': 0.8912498, 'index': 28, 'word': '.', 'start': 76, 'end': 77}, {'entity': 'I-LOC', 'score': 0.95107466, 'index': 29, 'word': 'Sokak', 'start': 78, 'end': 83}]",karam##an##maraş Maraş pi##azz##a av##m Sa##zi##bey mah 4. Sokak
9,#deprem #karamanmaraş #piazzaavm #afad Maraş piazza avm yakını Sazibey mah 4. Sokak kat 1 daire 7 haber alamıyoruz… https://t.co/YthwaHRkxA,"[{'entity': 'B-LOC', 'score': 0.989057, 'index': 4, 'word': 'karam', 'start': 9, 'end': 14}, {'entity': 'B-LOC', 'score': 0.9878243, 'index': 5, 'word': '##an', 'start': 14, 'end': 16}, {'entity': 'B-LOC', 'score': 0.99194145, 'index': 6, 'word': '##maraş', 'start': 16, 'end': 21}, {'entity': 'B-LOC', 'score': 0.9761948, 'index': 16, 'word': 'Maraş', 'start': 39, 'end': 44}, {'entity': 'I-LOC', 'score': 0.8332785, 'index': 17, 'word': 'pi', 'start': 45, 'end': 47}, {'entity': 'I-LOC', 'score': 0.91552126, 'index': 18, 'word': '##azz', 'start': 47, 'end': 50}, {'entity': 'I-LOC', 'score': 0.92479944, 'index': 19, 'word': '##a', 'start': 50, 'end': 51}, {'entity': 'I-LOC', 'score': 0.80148613, 'index': 20, 'word': 'av', 'start': 52, 'end': 54}, {'entity': 'I-LOC', 'score': 0.84913963, 'index': 21, 'word': '##m', 'start': 54, 'end': 55}, {'entity': 'B-LOC', 'score': 0.9939581, 'index': 23, 'word': 'Sa', 'start': 63, 'end': 65}, {'entity': 'B-LOC', 'score': 0.99536103, 'index': 24, 'word': '##zi', 'start': 65, 'end': 67}, {'entity': 'B-LOC', 'score': 0.99521893, 'index': 25, 'word': '##bey', 'start': 67, 'end': 70}, {'entity': 'I-LOC', 'score': 0.9714642, 'index': 26, 'word': 'mah', 'start': 71, 'end': 74}, {'entity': 'I-LOC', 'score': 0.8004177, 'index': 27, 'word': '4', 'start': 75, 'end': 76}, {'entity': 'I-LOC', 'score': 0.879678, 'index': 28, 'word': '.', 'start': 76, 'end': 77}, {'entity': 'I-LOC', 'score': 0.94686365, 'index': 29, 'word': 'Sokak', 'start': 78, 'end': 83}]",karam##an##maraş Maraş pi##azz##a av##m Sa##zi##bey mah 4. Sokak
