date,id,content,username,like_count,retweet_count;;;
2023-02-09 13:23:03+00:00,1623673836532006913,#deprem #depremsondakika #DepremAcil #DEPREMYARDIM #depremadıyaman #YARDIM #yardımkampanyası #yardımlasma #yardimhizmetleri #rt #PAYLAŞALIM https://t.co/H6bWq1dYg4,forexhileleri,0,0;;;
2023-02-09 13:23:03+00:00,1623673834812440576,@lionelmusto @AFADBaskanlik @DepremDairesi @OguzhanUgur @ahbap @haluklevent #deprem #YARDIMEDİN,yelizzyy,0,0;;;
"2023-02-09 13:23:02+00:00,1623673831008137216,""Diyarbakırda saba ihtiyacı olanlar arayın arkadaşlar";;;
#Diyarbakirdeprem ;;;
#deprem ;;;
"#acil https://t.co/NDrYIoT26Q"",MASLAHAT82,0,0";;;
2023-02-09 13:23:01+00:00,1623673828814495744,İnsülin ve büyüme hormonu ilaçlara ihtiyacı olan depremzedeler için çağrı merkezi oluşturuldu. Yayalım. @efeuygac @OguzhanUgur @haluklevent @uberkuloz @BabalaTv @PincTivi #deprem #adıyaman #hatay #adana https://t.co/1PnVVUkA8d,notundefteri,0,0;;;
"2023-02-09 13:23:01+00:00,1623673828395175937,""Baykartech sosyal medya hesabından duyurdu.";;;
;;;
@BaykarTech ;;;
;;;
"#deprem #afad #ahbab #hatay https://t.co/qaoa5ysxzY"",teskilatthaber,0,0";;;
"2023-02-09 13:23:01+00:00,1623673825979138048,""Di peşengtiya HDP ê di roja 4emîn de jî gel bi dil û can ked da û ji bo bajarên erdhejê zerar dîtine alîkarî şandin. Dayik û jinên Ciwan nan petin. Hîn jî gelek pêwîstî bi amûrên paqijiyê ên wekî pînên zarokan, pedên jinan, sabûnên dest şûştinê û her wekî hene";;;
"#deprem @DrHabip https://t.co/f9ukBgZQ8N"",HDPIGDIR76,0,0";;;
2023-02-09 13:23:00+00:00,1623673823538061313,#deprem,Hamiyet21045507,0,0;;;
"2023-02-09 13:23:00+00:00,1623673822888005632,""ADIYAMAN MERKEZ";;;
ALANDA OLAN TANIDIĞIN MESAJI GEREKLİ OLAN MALZEMELER JENERATÖR, IŞIK KAYNAĞI, ÇADIR BARINMA BÜYÜK SORUNMUŞ ;;;
;;;
"@AFADBaskanlik #Adıyaman @ahbap #deprem @haluklevent @OguzhanUgur @BabalaTv"",betiperik,0,0";;;
2023-02-09 13:23:00+00:00,1623673821659119623,#deprem https://t.co/tj74cSeTf9,esracelk1881,0,0;;;
"2023-02-09 13:22:59+00:00,1623673820077871105,""#deprem";;;
@AFADBaskanlik ;;;
@ahbap ;;;
@haluklevent ;;;
@OguzhanUgur ;;;
"#gaziantepdeprem https://t.co/E95FCx45tx"",_littlesiyrik,0,0";;;
2023-02-09 13:22:59+00:00,1623673819918487555,BU ADRESLERE DIKKAT! #YARDIM #deprem,bioengsez,0,0;;;
"2023-02-09 13:22:59+00:00,1623673817951309828,""Portekizce bilen, ve BU GECE KENDİ İMKANLARIYLA ADANA’da OLABİLECEK, sahaya gitmeye hazır olan varsa bana ulaşabilir mi? BUNUN DIŞINDA KİMSE YAZMASİN! ";;;
