individualnumber,category_number,hakkedis_amt,odul_amt,response
94230288,9000,21.0,2.0,0
4684087,9000,17.0,1.0,0
92472145,9058,24.0,3.0,0
88026681,9030,22.0,2.0,0
98127795,9001,38.0,3.0,0
101834804,9046,85.0,8.0,0
94859143,9044,27.0,2.0,0
94125442,9007,19.0,1.0,0
95607728,9006,33.0,3.0,0
102111432,9022,60.0,6.0,0
99409314,9022,43.0,4.0,0
98517959,9000,16.0,1.0,0
76422175,9046,85.0,8.0,0
98738435,9046,85.0,8.0,0
97816022,9018,22.0,2.0,0
97880035,9038,16.0,1.0,0
98050655,9058,23.0,2.0,0
94633721,9049,56.0,5.0,0
97763087,9042,17.0,1.0,0
95413484,9029,38.0,3.0,0
98759794,9036,9.0,1.0,0
96094695,9024,23.0,3.0,0
96402069,9032,33.0,3.0,0
96472180,9058,24.0,2.0,0
100133311,9056,26.0,2.0,0
94558282,9043,32.0,3.0,0
97982615,9024,23.0,3.0,0
94767294,9010,16.0,1.0,0
98000294,9002,18.0,1.0,0
99313418,9046,85.0,8.0,0
94909770,9006,39.0,3.0,0
100518907,9000,19.0,1.0,0
99025196,9059,27.0,2.0,0
95327831,9004,66.0,6.0,0
101802849,9046,85.0,8.0,0
95004914,9037,57.0,8.0,0
93567919,9022,43.0,4.0,0
92894551,9006,55.0,5.0,0
81184194,9022,45.0,6.0,0
101788904,9046,85.0,8.0,0
97263357,9004,66.0,6.0,0
98161740,9046,85.0,8.0,0
93139089,9059,27.0,2.0,0
93741026,9006,32.0,3.0,0
18629391,9055,21.0,3.0,0
99075439,9019,32.0,3.0,0
24260417,9031,49.0,4.0,0
100842690,9000,15.0,1.0,0
93533703,9043,49.0,4.0,0
98559996,9046,85.0,8.0,0
95610561,9046,85.0,8.0,0
98715843,9018,15.0,1.0,0
96290378,9046,66.0,6.0,0
102225563,9046,85.0,8.0,0
94235360,9035,40.0,4.0,0
93183255,9001,32.0,3.0,0
99404078,9029,38.0,3.0,0
95157631,9000,15.0,1.0,0
92824554,9042,24.0,2.0,0
95245793,9046,85.0,8.0,0
95312313,9010,24.0,2.0,0
101923215,9000,15.0,1.0,0
95091315,9006,32.0,3.0,0
97878374,9046,56.0,5.0,0
93640854,9012,28.0,2.0,0
99298620,9054,34.0,3.0,0
95165910,9018,28.0,2.0,0
101199644,9046,85.0,8.0,0
76459379,9004,99.0,14.0,1
52611985,9009,15.0,2.0,0
4266930,9046,85.0,8.0,0
98618310,9018,15.0,1.0,0
98002563,9032,33.0,3.0,0
102032538,9038,20.0,2.0,0
88570705,9038,16.0,1.0,0
81988302,9000,15.0,1.0,0
50998318,9040,23.0,2.0,0
89757222,9022,66.0,6.0,0
102013993,9046,85.0,8.0,0
97256264,9044,36.0,3.0,0
99161355,9027,37.0,3.0,0
95331977,9000,19.0,1.0,0
101997949,9046,85.0,8.0,0
98864992,9032,49.0,4.0,0
101085640,9010,16.0,1.0,0
89582697,9022,43.0,4.0,0
98372249,9035,27.0,2.0,0
97589729,9022,60.0,6.0,0
100295463,9021,66.0,6.0,0
95868586,9046,100.0,10.0,0
98771391,9048,38.0,3.0,0
99223201,9006,32.0,3.0,0
101349626,9006,39.0,3.0,0
95098489,9035,36.0,3.0,0
92931101,9004,121.0,12.0,0
98755677,9001,30.0,3.0,0
99535508,9035,35.0,3.0,0
93814534,9056,26.0,2.0,0
96200441,9000,15.0,1.0,0
88222405,9056,26.0,2.0,0
102009594,9046,85.0,8.0,0
101010727,9049,48.0,4.0,0
97440290,9000,15.0,1.0,0
100961645,9007,33.0,3.0,0
97877880,9043,32.0,3.0,0
100689665,9030,24.0,2.0,0
25114173,9017,15.0,1.0,0
96356481,9058,23.0,2.0,0
97520258,9017,15.0,1.0,0
90904533,9048,38.0,3.0,0
101455724,9046,85.0,8.0,0
99003361,9027,37.0,3.0,0
94430057,9022,43.0,4.0,0
89210477,9038,16.0,1.0,0
96047747,9019,26.0,2.0,0
83195500,9052,41.0,4.0,0
95430340,9035,31.0,3.0,0
94366902,9000,15.0,1.0,0
94665358,9055,39.0,3.0,0
96464606,9027,78.0,7.0,0
96320682,9000,15.0,1.0,0
96074994,9017,28.0,2.0,0
92525999,9017,16.0,1.0,0
99289720,9017,39.0,3.0,0
94317629,9039,66.0,6.0,0
100931565,9003,7.0,1.0,0
9152112,9049,44.0,6.0,0
100063675,9003,7.0,1.0,0
88447705,9001,19.0,1.0,0
98562700,9035,27.0,2.0,0
96018635,9024,23.0,2.0,0
101206082,9000,15.0,1.0,0
97728661,9046,85.0,8.0,0
88227356,9005,14.0,2.0,0
24080897,9043,32.0,3.0,0
96375985,9000,15.0,1.0,0
12578262,9046,66.0,6.0,0
99467745,9046,85.0,8.0,0
94164628,9046,85.0,8.0,0
101350618,9060,104.0,10.0,0
98802120,9017,23.0,2.0,0
93592987,9004,66.0,6.0,0
99924174,9000,15.0,1.0,0
95631471,9040,23.0,2.0,0
94576587,9010,16.0,1.0,0
96345825,9022,73.0,7.0,0
95545751,9022,54.0,5.0,0
99867133,9037,30.0,3.0,0
101812436,9046,85.0,8.0,0
91907581,9022,90.0,9.0,0
100077816,9006,32.0,3.0,0
96879965,9017,15.0,1.0,0
101789403,9046,85.0,8.0,0
100749594,9046,85.0,8.0,0
91764121,9000,37.0,3.0,0
93744290,9015,51.0,5.0,0
94448248,9052,41.0,4.0,0
93593715,9017,15.0,1.0,0
101463263,9046,85.0,8.0,0
95305588,9046,85.0,8.0,0
100309784,9017,24.0,2.0,0
94941907,9038,19.0,1.0,0
49974123,9046,85.0,8.0,0
98270036,9044,32.0,3.0,0
97447734,9038,16.0,1.0,0
95371294,9049,66.0,6.0,0
102044888,9022,60.0,6.0,0
93687918,9006,32.0,3.0,0
94972536,9040,23.0,2.0,0
94162232,9048,38.0,3.0,0
100428840,9046,85.0,8.0,0
92654750,9046,56.0,5.0,0
95255824,9046,56.0,5.0,0
96755529,9022,45.0,4.0,0
98853265,9039,52.0,5.0,0
102176103,9046,85.0,8.0,0
88607352,9055,11.0,1.0,0
101496346,9006,48.0,4.0,0
94721874,9012,28.0,2.0,0
98187014,9046,63.0,6.0,0
97053189,9039,52.0,5.0,0
94209844,9001,26.0,2.0,0
101034886,9008,22.0,2.0,0
18479260,9043,90.0,9.0,0
96119627,9024,28.0,2.0,0
101223840,9035,43.0,4.0,0
97190795,9046,85.0,8.0,0
101519921,9021,34.0,3.0,0
99038900,9035,43.0,4.0,0
98591615,9046,85.0,8.0,0
93615300,9003,8.0,1.0,0
94988090,9046,85.0,8.0,0
100639659,9046,85.0,8.0,0
89442593,9022,90.0,9.0,0
93146730,9041,27.0,2.0,0
96315102,9003,17.0,1.0,0
94098763,9043,79.0,7.0,0
95364502,9017,19.0,1.0,0
100271554,9046,100.0,10.0,0
47496304,9006,49.0,7.0,0
98150197,9058,23.0,2.0,0
99414701,9000,37.0,3.0,0
42273372,9059,41.0,6.0,1
98058957,9004,66.0,6.0,0
94205728,9008,20.0,2.0,0
97825853,9004,66.0,6.0,0
